Model,1st Layer,2nd Layer,3rd Layer,4th Layer
model_431,c_2,c_5,m_2,-
model_432,c_5,c_10,c_11,c_7
model_433,c_12,c_10,c_3,c_10
model_434,c_11,c_6,c_12,m_3
model_435,c_12,c_9,c_5,c_5
model_436,c_3,c_6,c_6,c_8
model_437,m_1,c_12,s,-
model_438,c_6,c_12,c_1,m_1
model_439,c_1,c_7,c_1,c_5
model_440,c_7,c_6,c_12,c_10
model_441,c_5,c_6,c_5,c_11
model_442,c_12,c_2,c_6,c_10
model_443,c_9,c_12,c_10,c_6
model_444,c_6,c_7,c_6,c_5
model_445,c_5,c_3,s,-
model_446,m_1,m_3,c_6,c_11
model_447,c_9,c_8,c_12,c_4
model_448,c_7,c_12,c_1,c_12
model_449,c_6,m_3,c_6,c_6
model_450,c_1,m_3,c_7,c_2
model_451,c_3,c_1,c_10,c_9
model_452,c_6,c_4,c_10,c_12
model_453,c_9,c_1,c_7,c_10
model_454,c_12,c_1,m_1,c_12
model_455,m_3,m_2,m_3,c_12
model_456,c_1,c_10,m_3,c_4
model_457,c_9,c_4,c_9,c_5
model_458,c_6,m_1,c_12,c_9
model_459,c_10,c_12,c_6,m_2
model_460,c_12,c_2,c_4,c_9
model_461,c_2,c_5,c_10,m_2
model_462,c_8,m_1,s,-
model_463,c_5,c_9,s,-
model_464,c_10,c_5,c_6,m_3
model_465,c_7,c_1,m_1,c_12
model_466,m_1,s,-,-
model_467,c_3,c_1,c_8,c_6
model_468,c_11,c_9,c_1,c_10
model_469,c_3,c_8,c_5,c_12
model_470,c_7,c_3,c_10,c_7
model_471,c_7,c_6,c_2,c_3
model_472,c_11,c_8,c_6,m_1
model_473,c_9,c_6,c_1,c_1
model_474,m_3,c_8,c_12,c_1
model_475,c_4,c_12,c_3,c_11
model_476,c_12,c_7,m_3,c_3
model_477,c_2,c_6,c_10,c_1
model_478,c_4,m_3,m_1,c_7
model_479,c_3,c_7,c_1,c_12
model_480,c_3,c_8,s,-
model_481,c_10,c_5,c_2,m_1
model_482,c_2,m_2,c_7,c_11
model_483,c_7,c_2,m_2,c_8
model_484,c_4,c_5,c_7,c_3
model_485,c_7,c_3,c_10,m_1
model_486,c_1,c_8,c_12,c_5
model_487,c_4,c_5,c_12,c_5
model_488,c_12,c_3,c_8,s
model_489,c_9,c_5,c_7,c_3
model_490,c_12,m_3,c_5,c_6
model_491,c_11,m_2,c_8,c_4
model_492,c_8,c_12,m_2,c_10
model_493,c_7,c_6,s,-
model_494,c_4,c_5,m_1,m_1
model_495,c_4,m_3,c_3,c_1
model_496,c_1,c_10,m_3,c_5
model_497,c_8,c_1,c_2,c_5
model_498,c_12,c_5,c_9,c_7
model_499,c_6,c_10,c_6,c_7
model_500,c_2,c_5,c_3,c_8
model_501,c_4,m_2,c_8,c_3
model_502,m_1,m_2,c_2,c_8
model_503,c_3,c_4,c_10,s
model_504,c_8,c_7,m_1,m_3
model_505,c_3,c_10,c_12,c_11
model_506,c_7,c_10,c_12,c_6
model_507,c_4,c_7,c_11,m_2
model_508,c_1,c_4,m_1,c_12
model_509,m_2,c_4,m_1,c_3
model_510,c_7,c_6,c_8,c_9
model_511,c_4,m_3,c_11,c_10
model_512,c_6,c_2,m_2,c_10
model_513,c_11,c_5,c_9,c_6
model_514,c_8,c_3,c_10,m_2
model_515,c_6,c_5,c_10,m_2
model_516,c_11,c_2,c_8,c_11
model_517,c_1,m_1,m_1,m_2
model_518,c_5,c_2,c_8,c_8
model_519,c_12,c_10,c_8,s
model_520,c_10,c_1,s,-
model_521,c_2,c_4,c_5,c_3
model_522,c_11,c_1,c_8,c_9
model_523,c_6,c_2,c_2,m_2
model_524,c_10,c_10,c_6,c_11
model_525,c_12,c_3,c_5,c_11
model_526,c_11,c_7,s,-
model_527,c_6,m_2,c_9,-
model_528,c_4,c_1,c_11,c_9
model_529,c_3,m_2,c_9,c_4
model_530,c_11,c_4,c_4,c_7
model_531,c_3,c_10,m_3,c_1
model_532,c_1,c_8,c_7,m_3
model_533,c_9,c_7,m_1,c_4
model_534,c_6,c_6,c_7,m_3
model_535,c_7,m_1,c_10,m_2
model_536,c_12,c_5,c_5,c_8
model_537,c_3,c_12,c_11,c_12
model_538,c_11,c_3,c_9,c_12
model_539,c_3,c_1,c_8,m_3
model_540,c_9,s,-,-
model_541,c_12,c_12,c_8,m_3
model_542,c_4,c_5,c_10,c_11
model_543,c_3,c_4,c_3,c_11
model_544,m_2,c_9,c_4,c_8
model_545,c_9,c_9,m_1,c_11
model_546,c_10,m_2,m_2,c_9
model_547,c_1,c_6,c_9,s
model_548,c_9,c_2,c_11,c_1
model_549,c_7,c_4,c_5,m_3
model_550,c_10,c_7,c_4,c_3
model_551,c_3,c_1,c_5,s
model_552,c_10,c_8,c_7,m_2
model_553,c_9,m_2,c_3,c_2
model_554,c_8,c_9,c_7,c_6
model_555,c_8,c_2,c_8,c_12
model_556,c_10,c_3,c_10,c_7
model_557,c_1,m_1,c_1,c_6
model_558,c_2,c_1,m_2,c_11
model_559,c_1,c_5,m_1,c_2
model_560,c_6,c_9,c_3,c_7
model_561,c_7,c_9,c_1,m_2
model_562,c_12,m_3,c_7,c_9
model_563,c_11,c_7,c_8,c_5
model_564,c_1,c_12,c_8,m_2
model_565,c_5,m_1,c_10,c_2
model_566,c_10,c_1,m_1,m_3
model_567,c_6,m_1,c_3,m_1
model_568,c_3,c_3,c_11,m_1
model_569,c_11,m_2,m_3,c_10
model_570,c_3,c_10,c_8,c_4
model_571,c_3,c_7,m_2,c_2
model_572,c_12,m_1,c_5,c_2
model_573,c_1,c_3,s,-
model_574,c_4,c_11,c_1,c_3
model_575,c_3,m_3,c_12,c_2
model_576,c_11,c_4,c_10,c_9
model_577,c_3,c_8,c_11,s
model_578,m_3,c_10,c_3,c_2
model_579,c_3,c_11,c_8,c_6
model_580,c_10,c_2,c_2,c_3
model_581,c_2,c_9,c_4,c_2
model_582,c_3,c_1,c_10,m_3
model_583,c_2,c_6,s,-
model_584,c_10,c_3,c_5,s
model_585,c_10,c_7,c_4,c_5
model_586,c_7,c_8,c_3,c_4
model_587,c_1,c_1,c_5,c_3
model_588,c_4,m_2,m_3,m_3
model_589,c_5,c_10,m_3,c_3
model_590,c_3,c_5,c_11,c_9
model_591,c_4,m_1,c_8,m_2
model_592,c_11,c_11,c_11,c_9
model_593,c_6,c_6,c_11,c_2
model_594,c_11,m_2,c_1,m_3
model_595,c_1,c_10,c_8,c_10
model_596,c_8,m_1,c_6,c_3
model_597,c_2,c_1,m_2,c_5
model_598,c_2,m_2,c_5,c_10
model_599,c_9,c_1,m_3,c_5
model_600,c_8,c_12,c_4,c_1
model_601,c_1,c_7,c_9,m_3
model_602,c_1,c_7,c_7,c_10
model_603,c_9,m_2,c_1,c_12
model_604,c_10,c_10,c_5,c_10
model_605,c_4,c_5,c_3,c_8
model_606,c_11,m_1,c_11,c_9
model_607,c_7,m_3,m_1,s
model_608,c_8,c_10,c_9,c_9
model_609,c_1,c_1,m_3,c_12
model_610,c_8,c_9,c_12,s
model_611,m_2,m_1,c_7,c_10
model_612,c_10,c_2,m_3,c_4
model_613,c_2,c_5,c_7,c_6
model_614,c_3,c_8,c_6,m_1
model_615,c_6,m_3,c_11,c_10
model_616,c_12,c_3,c_9,c_2
model_617,c_10,c_1,c_9,c_11
model_618,c_5,m_1,c_10,c_9
model_619,c_1,c_4,c_9,c_6
model_620,c_9,c_1,c_12,s
model_621,c_2,c_2,c_10,m_3
model_622,c_1,m_2,m_1,c_6
model_623,c_12,c_6,c_9,m_2
model_624,c_3,c_1,c_4,s
model_625,c_3,c_6,c_12,c_9
model_626,c_3,c_1,c_9,c_1
model_627,c_1,c_12,c_10,c_3
model_628,c_10,c_2,m_2,c_5
model_629,c_10,c_8,c_1,c_3
model_630,c_9,c_8,m_1,c_10
model_631,c_11,c_4,c_9,c_8
model_632,c_5,c_6,c_10,m_1
model_633,c_11,c_9,m_2,c_11
model_634,c_6,c_7,c_6,c_4
model_635,c_2,m_3,c_8,c_4
model_636,c_2,c_8,c_9,s
model_637,c_5,c_5,c_5,m_3
model_638,c_9,c_4,m_2,c_12
model_639,c_1,m_1,c_2,c_7
model_640,c_10,c_6,c_12,m_1
model_641,c_2,c_9,c_12,c_2
model_642,c_2,m_1,s,-
model_643,c_5,c_4,c_11,m_3
model_644,c_10,c_10,m_2,c_3
model_645,c_11,c_1,m_2,c_4
model_646,c_1,m_1,c_11,c_6
model_647,c_6,c_7,c_7,c_3
model_648,c_7,c_11,c_11,c_4
model_649,c_4,c_9,c_6,c_6
model_650,c_5,m_1,m_3,c_8
model_651,c_3,c_1,c_10,c_12
model_652,c_5,c_1,c_6,c_6
model_653,c_3,m_2,m_2,c_12
model_654,c_7,c_9,c_10,c_6
model_655,c_11,c_7,c_10,c_2
model_656,c_3,c_10,c_4,c_6
model_657,c_9,c_9,c_11,c_4
model_658,c_7,c_9,s,-
model_659,c_8,m_1,c_7,c_9
model_660,c_12,c_3,c_7,c_3
model_661,c_2,c_11,c_5,c_4
model_662,c_9,m_3,c_8,c_3
model_663,c_3,c_5,c_12,c_6
model_664,c_7,c_2,c_5,m_1
model_665,c_10,c_4,c_1,c_1
model_666,c_4,c_8,c_2,m_3
model_667,c_9,c_11,c_1,c_2
model_668,c_7,c_12,s,-
model_669,c_9,m_2,c_4,c_9
model_670,c_5,c_2,m_3,s
model_671,c_9,c_2,c_1,m_3
model_672,m_1,c_7,c_2,m_1
model_673,c_2,c_6,c_8,m_1
model_674,c_2,c_9,c_4,c_10
model_675,c_3,c_5,c_6,c_1
model_676,c_6,c_11,c_4,c_1
model_677,c_4,c_10,c_3,m_3
model_678,c_10,c_6,c_8,c_6
model_679,c_2,c_11,c_5,c_10
model_680,c_3,m_3,m_3,c_7
model_681,c_10,c_7,c_8,c_5
model_682,c_7,c_11,c_4,c_12
model_683,c_9,c_7,c_9,c_10
model_684,c_10,c_9,c_11,c_12
model_685,c_5,m_3,c_6,c_2
model_686,c_7,c_9,c_1,c_12
model_687,c_8,c_10,c_11,c_12
model_688,c_9,c_10,c_12,c_12
model_689,c_8,c_6,m_2,c_7
model_690,c_1,m_1,c_10,c_1
model_691,c_3,c_1,c_7,c_5
model_692,c_3,c_10,m_2,c_5
model_693,c_10,m_2,m_3,c_3
model_694,c_11,c_11,c_10,c_5
model_695,c_12,m_3,c_8,c_2
model_696,c_1,c_5,c_7,c_5
model_697,c_7,c_11,m_2,c_1
model_698,c_8,c_12,c_5,-
model_699,c_7,c_2,c_4,c_11
model_700,c_7,c_10,m_3,c_10
model_701,c_6,c_4,m_3,c_7
model_702,c_2,c_6,c_6,s
model_703,c_12,c_5,c_11,m_2
model_704,c_5,c_12,c_1,m_1
model_705,c_10,s,-,-
model_706,c_2,c_8,c_12,c_3
model_707,c_5,c_4,m_2,c_4
model_708,c_12,c_11,c_2,s
model_709,c_8,c_8,c_4,m_2
model_710,c_12,c_2,c_9,m_2
model_711,c_12,c_10,c_8,c_11
model_712,c_10,m_3,c_5,c_5
model_713,c_9,c_2,c_5,c_10
model_714,c_11,c_5,m_2,c_10
model_715,c_7,c_5,c_1,c_7
model_716,c_5,c_11,c_9,c_12
model_717,c_2,c_5,c_9,c_7
model_718,c_4,c_2,c_5,c_12
model_719,c_2,m_1,m_1,c_4
model_720,c_6,m_2,c_1,c_11
model_721,c_4,c_1,m_2,c_11
model_722,c_7,m_1,c_12,s
model_723,c_11,c_11,c_3,c_10
model_724,c_9,c_7,c_2,c_4
model_725,c_4,c_12,m_1,c_9
model_726,c_9,c_5,c_1,c_11
model_727,c_8,c_12,c_12,c_12
model_728,c_3,c_3,c_12,m_1
model_729,c_9,c_3,c_9,m_1
model_730,c_5,c_4,m_3,m_1
model_731,c_3,c_5,c_1,m_3
model_732,c_11,m_2,c_6,c_11
model_733,c_9,m_3,c_6,c_10
model_734,c_6,c_2,c_12,c_9
model_735,c_11,m_1,m_3,c_6
model_736,c_4,c_6,m_1,c_9
model_737,c_6,c_12,c_10,m_1
model_738,c_1,c_6,c_9,m_1
model_739,c_6,s,-,-
model_740,c_10,m_1,s,-
model_741,c_11,c_6,m_3,c_7
model_742,c_1,c_8,c_7,c_3
model_743,c_1,c_5,m_1,s
model_744,c_2,m_2,c_7,c_2
model_745,c_12,m_3,c_10,c_4
model_746,c_1,c_4,s,-
model_747,c_4,c_3,c_9,c_6
model_748,c_5,c_1,c_10,c_5
model_749,c_10,c_5,c_4,c_10
model_750,c_12,c_11,c_1,c_4
model_751,c_5,c_12,c_8,c_11
model_752,c_3,m_2,c_11,c_9
model_753,c_2,c_12,c_10,c_8
model_754,c_2,c_4,m_3,c_7
model_755,c_3,c_3,c_8,c_5
model_756,c_8,c_6,c_5,c_6
model_757,c_5,c_2,c_12,c_4
model_758,c_2,m_1,c_9,m_1
model_759,c_7,c_1,c_4,c_10
model_760,c_4,c_8,m_2,c_2
model_761,c_11,c_10,c_11,c_2
model_762,c_8,c_10,c_9,c_8
model_763,c_7,m_1,c_4,c_3
model_764,c_6,c_10,m_2,m_2
model_765,c_12,c_1,c_7,c_3
model_766,c_12,c_1,c_3,c_12
model_767,c_1,m_2,c_8,c_9
model_768,c_10,c_11,c_9,m_3
model_769,c_6,c_6,c_7,c_5
model_770,c_10,c_8,c_10,s
model_771,c_10,c_7,m_2,s
model_772,c_6,c_12,c_10,c_9
model_773,c_12,c_4,m_1,m_2
model_774,c_7,m_3,c_4,m_1
model_775,c_7,c_11,s,-
model_776,c_5,c_5,c_3,c_5
model_777,c_5,c_8,c_3,c_1
model_778,c_10,c_4,c_10,c_5
model_779,c_12,c_1,c_12,c_9
model_780,c_2,c_4,c_11,c_9
model_781,m_3,c_9,m_1,c_12
model_782,c_4,c_2,c_12,m_3
model_783,c_7,c_7,c_7,c_6
model_784,m_2,c_4,c_10,s
model_785,c_5,c_8,m_1,c_5
model_786,c_6,c_12,c_6,c_1
model_787,c_2,c_12,c_2,m_2
model_788,c_9,m_2,c_9,c_10
model_789,c_7,c_8,c_12,c_12
model_790,c_12,c_2,c_9,c_10
model_791,c_5,c_2,c_11,m_1
model_792,m_1,c_4,m_2,s
model_793,c_7,c_3,c_11,m_3
model_794,c_3,m_1,c_3,m_2
model_795,c_10,c_10,s,-
model_796,c_8,c_1,c_3,c_8
model_797,c_2,c_3,c_8,c_5
model_798,c_1,m_2,m_2,c_4
model_799,c_8,c_7,c_4,c_4
model_800,c_7,c_1,c_3,c_2
model_801,c_3,c_2,m_1,m_1
model_802,c_8,c_10,c_9,c_11
model_803,c_5,m_1,c_5,c_11
model_804,c_12,m_2,c_7,c_1
model_805,c_5,c_7,c_9,c_1
model_806,c_2,c_9,c_8,c_10
model_807,c_8,c_9,c_7,c_10
model_808,c_2,c_3,c_8,c_3
model_809,c_8,c_5,c_11,m_3
model_810,c_5,m_2,m_3,c_5
model_811,c_9,c_10,s,-
model_812,c_2,c_6,m_3,c_11
model_813,c_9,c_5,c_5,c_1
model_814,c_4,c_3,m_3,c_4
model_815,c_5,m_2,m_1,c_4
model_816,c_2,m_1,c_2,s
model_817,c_3,c_5,c_12,c_5
model_818,c_11,c_1,c_8,c_1
model_819,c_12,c_3,c_8,m_3
model_820,c_6,c_5,c_12,c_6
model_821,c_8,c_10,c_3,c_5
model_822,m_3,c_12,s,-
model_823,c_11,c_8,c_5,c_8
model_824,c_5,m_1,c_9,s
model_825,c_6,c_12,c_9,c_4
model_826,c_9,c_9,c_7,c_4
model_827,c_1,c_3,m_3,c_6
model_828,c_9,m_2,c_9,c_2
model_829,c_4,c_7,c_10,c_1
model_830,c_3,c_1,m_2,c_4
model_831,c_6,c_8,c_10,c_5
model_832,c_6,c_11,m_3,c_10
model_833,c_12,c_1,c_9,c_11
model_834,c_8,c_6,m_1,c_11
model_835,c_1,m_1,c_6,c_5
model_836,c_6,c_11,c_2,c_1
model_837,c_1,c_11,c_10,c_11
model_838,c_9,c_4,c_3,c_11
model_839,c_1,c_4,m_3,c_1
model_840,c_5,s,-,-
model_841,c_5,c_10,c_11,c_5
model_842,c_8,c_9,c_7,c_5
model_843,c_6,c_12,c_1,c_1
model_844,c_1,c_1,c_12,m_2
model_845,c_10,m_3,c_8,c_9
model_846,c_4,m_2,c_7,c_2
model_847,c_4,c_6,c_8,c_11
model_848,c_3,c_1,c_12,m_1
model_849,c_6,c_4,c_5,c_8
model_850,c_4,c_8,c_10,c_7
model_851,c_12,c_5,c_8,c_4
model_852,c_9,c_11,m_3,c_1
model_853,c_1,m_3,c_4,m_1
model_854,c_9,c_8,c_11,c_6
model_855,c_3,m_2,m_3,c_3
model_856,c_12,m_1,c_11,s
model_857,c_10,c_5,m_1,m_2
model_858,c_5,c_4,c_6,c_10
model_859,c_3,m_2,c_7,c_1
model_860,c_12,c_11,m_2,c_12
model_861,c_2,c_6,c_4,c_9
model_862,c_10,c_3,m_3,c_4
model_863,c_5,c_3,c_3,c_4
model_864,c_6,c_5,c_5,c_12
model_865,c_8,c_10,c_10,m_1
model_866,c_8,m_3,c_1,c_2
model_867,c_5,c_11,c_7,s
model_868,c_7,c_3,c_5,m_3
model_869,c_5,c_11,c_10,c_10
model_870,c_11,c_4,m_2,c_5
model_871,c_3,m_2,c_4,s
model_872,c_7,c_2,c_11,m_1
model_873,c_11,c_12,c_5,s
model_874,c_1,c_9,c_3,c_2
model_875,c_2,c_7,c_1,c_12
model_876,c_12,c_1,c_1,c_5
model_877,c_7,c_7,s,-
model_878,c_4,c_1,m_3,c_10
model_879,c_7,m_3,c_5,m_3
model_880,c_1,c_4,c_5,m_2
model_881,c_12,c_2,c_8,c_4
model_882,c_3,c_10,c_3,c_9
model_883,c_9,c_8,c_1,c_7
model_884,c_5,m_3,c_5,c_5
model_885,c_11,c_2,c_2,c_5
model_886,c_4,c_9,c_7,c_5
model_887,c_11,c_6,m_3,c_4
model_888,c_10,c_8,c_9,c_8
model_889,c_11,c_11,c_6,c_11
model_890,c_11,c_8,c_5,m_2
model_891,c_4,m_2,c_5,c_5
model_892,c_12,c_10,c_6,c_5
model_893,c_3,c_6,c_2,c_11
model_894,c_2,c_11,c_8,c_3
model_895,c_10,c_10,c_1,c_10
model_896,c_6,m_1,c_8,c_4
model_897,c_12,c_2,m_2,c_11
model_898,c_10,c_11,c_9,c_3
model_899,c_2,m_3,c_1,m_2
model_900,c_3,c_11,m_2,c_5
model_901,c_5,m_3,m_2,m_2
model_902,c_12,c_7,c_7,m_1
model_903,c_12,c_12,c_4,c_2
model_904,c_9,m_3,c_5,c_4
model_905,c_11,c_11,c_8,m_1
model_906,c_4,c_3,m_2,s
model_907,c_6,c_8,c_5,c_6
model_908,c_9,c_4,m_1,c_2
model_909,c_7,c_5,c_8,c_1
model_910,c_2,c_11,c_4,c_8
model_911,c_1,m_2,c_11,c_6
model_912,c_7,c_8,s,-
model_913,c_12,m_3,c_12,c_12
model_914,c_5,c_4,m_1,s
model_915,c_3,m_3,c_8,s
model_916,c_11,c_11,m_3,c_11
model_917,c_6,c_10,m_3,c_9
model_918,c_12,c_8,c_11,c_5
model_919,c_4,c_5,c_7,c_9
model_920,c_10,c_9,c_7,m_3
model_921,c_4,c_7,c_8,c_12
model_922,c_7,c_4,c_1,m_1
model_923,c_7,c_1,c_5,s
model_924,c_11,c_7,m_2,m_3
model_925,c_7,c_9,c_6,c_2
model_926,c_1,c_6,c_2,c_5
model_927,c_10,c_3,c_7,c_3
model_928,c_9,c_9,m_3,c_1
model_929,c_9,m_3,c_8,c_9
model_930,c_4,m_3,c_5,c_9
model_931,c_10,m_2,c_11,c_5
model_932,c_4,c_8,s,-
model_933,c_8,c_12,m_3,c_4
model_934,c_11,c_6,m_3,c_8
model_935,c_4,c_7,c_4,c_9
model_936,c_9,c_1,c_1,c_11
model_937,c_12,c_10,s,-
model_938,c_3,m_3,c_11,c_9
model_939,c_2,c_1,c_1,c_9
model_940,c_11,c_9,c_8,c_3
model_941,c_7,c_8,c_1,m_2
model_942,c_3,c_3,c_6,c_5
model_943,c_9,c_9,c_4,c_7
model_944,c_1,c_9,s,-
model_945,c_7,m_3,m_1,m_2
model_946,c_3,c_10,c_7,c_5
model_947,c_11,c_10,c_6,c_6
model_948,c_10,c_4,s,-
model_949,c_9,c_4,c_7,c_3
model_950,m_3,c_8,s,-
model_951,c_7,c_6,c_5,c_12
model_952,c_5,c_3,c_8,c_10
model_953,c_4,c_2,c_5,c_10
model_954,c_4,m_1,c_3,c_9
model_955,c_9,c_6,c_10,m_3
model_956,c_8,c_1,c_11,c_4
model_957,c_12,c_12,c_1,c_3
model_958,c_1,c_5,c_5,c_10
model_959,c_5,c_2,c_10,c_8
model_960,m_3,m_1,c_1,c_9
model_961,c_12,c_4,m_3,c_9
model_962,c_5,c_12,c_8,m_1
model_963,c_8,c_2,m_1,c_3
model_964,c_6,c_12,m_2,c_2
model_965,c_9,c_6,c_5,c_1
model_966,c_4,c_9,s,-
model_967,c_2,c_9,c_6,s
model_968,c_6,c_12,c_4,s
model_969,c_3,m_3,c_5,c_10
model_970,c_10,c_10,m_3,c_3
model_971,c_12,m_2,c_2,s
model_972,c_6,c_8,c_2,c_8
model_973,c_7,c_12,c_4,c_8
model_974,c_7,c_10,c_3,c_9
model_975,c_7,c_9,c_3,c_4
model_976,c_9,c_2,m_1,c_6
model_977,c_12,m_3,c_1,m_2
model_978,c_1,c_7,c_10,m_2
model_979,c_8,c_4,c_3,c_8
model_980,m_2,c_9,s,-
model_981,c_5,m_2,c_3,c_2
model_982,c_10,c_11,m_1,c_2
model_983,c_4,c_11,c_10,c_6
model_984,c_8,c_10,c_4,c_7
model_985,c_8,m_2,m_2,c_2
model_986,c_4,c_10,m_2,c_3
model_987,c_8,m_3,c_7,s
model_988,c_9,m_1,m_3,c_2
model_989,c_4,m_2,c_9,c_7
model_990,c_9,c_10,c_2,c_2
model_991,c_1,c_8,c_9,s
model_992,c_2,m_3,c_2,c_5
model_993,c_5,c_8,c_6,c_9
model_994,c_10,c_12,c_3,c_1
model_995,c_2,m_1,c_7,m_1
model_996,c_2,c_7,c_9,c_1
model_997,c_7,m_3,c_11,c_3
model_998,c_6,c_6,c_3,c_10
model_999,c_4,c_4,c_6,c_4
model_1000,c_9,c_2,m_1,m_2
